id,SFnum_G,PFnum_G,Cnum_G,SGnum_G,PGnum_G,SFnum_O,PFnum_O,Cnum_O,SGnum_O,PGnum_O,secs,score_GSW,score_OPP,sO-sG,game
4637,1,1,1,1,1,1,2,0,1,1,302,8,8,0,20160619/CLEGSW
4638,2,1,0,1,1,1,2,0,1,1,84,3,2,-1,20160619/CLEGSW
4639,2,1,0,1,1,2,1,0,1,1,185,5,6,1,20160619/CLEGSW
4640,1,1,1,1,1,2,1,0,1,1,0,0,0,0,20160619/CLEGSW
4641,1,1,1,2,0,2,1,0,1,1,0,0,0,0,20160619/CLEGSW
4642,1,1,1,2,0,2,1,0,1,1,53,3,2,-1,20160619/CLEGSW
4643,1,1,1,2,0,1,1,0,1,2,30,2,1,-1,20160619/CLEGSW
4644,2,0,1,2,0,1,1,0,1,2,41,1,2,1,20160619/CLEGSW
4645,2,0,1,1,1,1,1,0,1,2,0,0,0,0,20160619/CLEGSW
4646,2,0,1,1,1,2,1,0,1,1,21,0,1,1,20160619/CLEGSW
4647,2,0,2,0,1,2,1,0,1,1,0,0,0,0,20160619/CLEGSW
4648,2,0,1,1,1,2,1,0,1,1,0,0,0,0,20160619/CLEGSW
4649,1,0,1,1,2,2,1,0,1,1,0,0,0,0,20160619/CLEGSW
4650,1,1,1,1,1,2,1,0,1,1,216,7,5,-2,20160619/CLEGSW
4651,1,1,1,1,1,2,0,0,1,2,0,0,0,0,20160619/CLEGSW
4652,1,1,1,1,1,1,0,0,2,2,0,0,0,0,20160619/CLEGSW
4653,1,1,1,1,1,1,1,0,1,2,25,0,0,0,20160619/CLEGSW
4654,1,1,0,2,1,1,1,0,1,2,18,0,0,0,20160619/CLEGSW
4655,1,1,0,2,1,1,1,0,1,2,118,6,6,0,20160619/CLEGSW
4656,1,1,0,2,1,1,1,0,1,2,0,0,0,0,20160619/CLEGSW
4657,1,1,1,1,1,1,1,0,1,2,104,3,4,1,20160619/CLEGSW
4658,1,1,1,1,1,2,0,0,1,2,0,0,1,1,20160619/CLEGSW
4659,1,1,0,1,2,2,0,0,1,2,170,9,3,-6,20160619/CLEGSW
4660,1,1,0,1,2,2,0,0,1,2,0,0,0,0,20160619/CLEGSW
4661,1,1,1,1,1,1,2,0,1,1,187,7,13,6,20160619/CLEGSW
4662,1,1,1,1,1,1,2,0,1,1,0,0,0,0,20160619/CLEGSW
4663,1,1,1,1,1,1,2,0,1,1,260,5,11,6,20160619/CLEGSW
4664,2,1,0,1,1,1,2,0,1,1,75,4,4,0,20160619/CLEGSW
4665,2,1,0,2,0,1,2,0,1,1,15,1,1,0,20160619/CLEGSW
4666,2,1,0,1,1,2,1,0,1,1,175,14,11,-3,20160619/CLEGSW
4667,2,1,0,1,1,2,1,0,1,1,85,2,0,-2,20160619/CLEGSW
4668,2,1,0,1,1,2,1,0,1,1,0,0,0,0,20160619/CLEGSW
4669,2,1,0,1,1,2,1,0,0,2,84,5,2,-3,20160619/CLEGSW
4670,2,1,0,1,1,2,1,0,1,1,0,0,0,0,20160619/CLEGSW
4671,1,1,1,1,1,2,1,0,1,1,156,4,6,2,20160619/CLEGSW
4672,2,1,0,1,1,2,1,0,1,1,0,0,0,0,20160619/CLEGSW
4673,2,1,0,1,1,1,2,0,1,1,151,0,0,0,20160619/CLEGSW
4674,2,1,0,1,1,2,1,0,1,1,59,0,3,3,20160619/CLEGSW
4675,2,1,0,1,1,2,1,0,1,1,0,0,1,1,20160619/CLEGSW
4676,1,1,1,1,1,2,1,0,1,1,0,0,0,0,20160619/CLEGSW
4677,1,1,1,1,1,1,1,0,1,2,10,0,0,0,20160619/CLEGSW
4594,2,1,0,1,1,1,2,0,1,1,90,0,2,2,20160616/GSWCLE
